base judge R  Y/X  θ  ,E      ,ol1   ,ol2   ,ol3   ,ol4   ,ol5   ,ol6   ,ol7   ,ol8
365 T 11.0 2.19 27.00 ,-8.37  ,-0.03 ,-0.23 ,0.01  ,-0.20 ,-0.36 ,-0.20 ,-0.28 ,-0.09
366 T 11.0 2.19 36.00 ,-8.67  ,-0.04 ,-0.23 ,-0.00 ,-0.14 ,-0.43 ,-0.21 ,-0.30 ,-0.05
367 T 11.0 2.19 45.00 ,-8.35  ,-0.04 ,-0.23 ,-0.02 ,-0.07 ,-0.49 ,-0.22 ,-0.30 ,0.02
368 T 11.0 2.19 54.00 ,-8.58  ,-0.05 ,-0.20 ,-0.04 ,0.00  ,-0.54 ,-0.22 ,-0.27 ,0.10
369 T 11.0 2.19 63.00 ,-9.47  ,-0.05 ,-0.17 ,-0.06 ,0.06  ,-0.56 ,-0.21 ,-0.23 ,0.17
370 T 11.0 2.19 72.00 ,-9.43  ,-0.04 ,-0.14 ,-0.07 ,0.09  ,-0.54 ,-0.19 ,-0.18 ,0.22
371 T 11.0 2.19 81.00 ,-8.07  ,-0.04 ,-0.12 ,-0.07 ,0.10  ,-0.50 ,-0.17 ,-0.14 ,0.23
372 T 11.0 2.19 90.00 ,-7.26  ,-0.04 ,-0.11 ,-0.06 ,0.11  ,-0.48 ,-0.16 ,-0.13 ,0.23
373 T 11.0 3.41 0.00  ,-0.16  ,-0.01 ,-0.10 ,-0.00 ,-0.12 ,-0.20 ,-0.12 ,-0.18 ,-0.04
374 T 11.0 3.41 9.00  ,-0.49  ,-0.01 ,-0.10 ,-0.00 ,-0.12 ,-0.21 ,-0.12 ,-0.18 ,-0.04
375 T 11.0 3.41 18.00 ,-1.31  ,-0.02 ,-0.11 ,-0.01 ,-0.12 ,-0.23 ,-0.13 ,-0.19 ,-0.03
376 T 11.0 3.41 27.00 ,-2.19  ,-0.02 ,-0.11 ,-0.01 ,-0.10 ,-0.27 ,-0.14 ,-0.21 ,-0.01
377 T 11.0 3.41 36.00 ,-2.74  ,-0.02 ,-0.12 ,-0.02 ,-0.09 ,-0.31 ,-0.16 ,-0.22 ,0.01
378 T 11.0 3.41 45.00 ,-2.98  ,-0.02 ,-0.12 ,-0.03 ,-0.06 ,-0.36 ,-0.17 ,-0.22 ,0.05
379 T 11.0 3.41 54.00 ,-3.29  ,-0.02 ,-0.11 ,-0.04 ,-0.02 ,-0.39 ,-0.17 ,-0.21 ,0.10
380 T 11.0 3.41 63.00 ,-3.50  ,-0.02 ,-0.09 ,-0.04 ,0.01  ,-0.39 ,-0.16 ,-0.18 ,0.13
381 T 11.0 3.41 72.00 ,-3.15  ,-0.02 ,-0.08 ,-0.04 ,0.04  ,-0.37 ,-0.15 ,-0.15 ,0.15
382 T 11.0 3.41 81.00 ,-2.50  ,-0.02 ,-0.07 ,-0.04 ,0.05  ,-0.35 ,-0.14 ,-0.13 ,0.16
383 T 11.0 3.41 90.00 ,-2.19  ,-0.02 ,-0.06 ,-0.04 ,0.05  ,-0.34 ,-0.13 ,-0.12 ,0.16
384 T 11.0 6.96 0.00  ,7.62   ,-0.01 ,-0.06 ,-0.01 ,-0.06 ,-0.15 ,-0.08 ,-0.13 ,-0.01
385 T 11.0 6.96 9.00  ,7.55   ,-0.01 ,-0.06 ,-0.01 ,-0.06 ,-0.15 ,-0.08 ,-0.13 ,-0.01
386 T 11.0 6.96 18.00 ,7.35   ,-0.01 ,-0.06 ,-0.01 ,-0.06 ,-0.16 ,-0.09 ,-0.13 ,-0.00
387 T 11.0 6.96 27.00 ,7.01   ,-0.01 ,-0.06 ,-0.01 ,-0.06 ,-0.19 ,-0.10 ,-0.14 ,0.01
388 T 11.0 6.96 36.00 ,6.56   ,-0.01 ,-0.07 ,-0.02 ,-0.05 ,-0.22 ,-0.11 ,-0.15 ,0.03
389 T 11.0 6.96 45.00 ,6.08   ,-0.01 ,-0.07 ,-0.02 ,-0.04 ,-0.25 ,-0.12 ,-0.15 ,0.05
390 T 11.0 6.96 54.00 ,5.83   ,-0.01 ,-0.06 ,-0.02 ,-0.02 ,-0.27 ,-0.12 ,-0.15 ,0.08
391 T 11.0 6.96 63.00 ,5.98   ,-0.01 ,-0.06 ,-0.02 ,0.00  ,-0.26 ,-0.11 ,-0.13 ,0.09
392 T 11.0 6.96 72.00 ,6.32   ,-0.01 ,-0.05 ,-0.02 ,0.01  ,-0.25 ,-0.10 ,-0.11 ,0.10
393 T 11.0 6.96 81.00 ,6.60   ,-0.01 ,-0.04 ,-0.02 ,0.02  ,-0.24 ,-0.10 ,-0.10 ,0.10
394 T 11.0 6.96 90.00 ,6.70   ,-0.01 ,-0.04 ,-0.02 ,0.02  ,-0.23 ,-0.09 ,-0.09 ,0.11
395 T 12.0 0.00 0.00  ,-3.55  ,-0.02 ,-0.15 ,0.02  ,-0.25 ,-0.02 ,0.26  ,0.24  ,0.11
396 T 12.0 0.13 0.00  ,-6.91  ,-0.02 ,-0.21 ,0.06  ,-0.33 ,-0.03 ,0.25  ,0.29  ,0.08
397 T 12.0 0.13 57.46 ,-8.21  ,-0.02 ,-0.20 ,0.04  ,-0.29 ,-0.03 ,0.31  ,0.30  ,0.12
398 T 12.0 0.13 90.00 ,-7.62  ,-0.02 ,-0.19 ,0.02  ,-0.27 ,-0.03 ,0.32  ,0.29  ,0.13
399 T 12.0 0.27 0.00  ,-7.18  ,-0.03 ,-0.29 ,0.17  ,-0.44 ,-0.06 ,0.10  ,0.34  ,-0.02
400 T 12.0 0.27 28.98 ,-10.51 ,-0.03 ,-0.33 ,0.17  ,-0.43 ,-0.05 ,0.21  ,0.38  ,0.03
401 T 12.0 0.27 57.96 ,-12.69 ,-0.04 ,-0.32 ,0.09  ,-0.34 ,-0.04 ,0.43  ,0.41  ,0.14
402 T 12.0 0.27 86.93 ,-9.39  ,-0.03 ,-0.25 ,0.03  ,-0.24 ,-0.04 ,0.45  ,0.37  ,0.19
403 T 12.0 0.27 90.00 ,-9.33  ,-0.03 ,-0.25 ,0.03  ,-0.24 ,-0.04 ,0.45  ,0.37  ,0.19
404 T 12.0 0.41 0.00  ,-9.05  ,-0.02 ,-0.32 ,0.26  ,-0.47 ,-0.07 ,-0.11 ,0.33  ,-0.11
405 T 12.0 0.41 19.60 ,-11.39 ,-0.04 ,-0.41 ,0.33  ,-0.42 ,-0.02 ,-0.02 ,0.33  ,-0.09
406 T 12.0 0.41 39.20 ,-11.66 ,-0.05 ,-0.49 ,0.31  ,-0.26 ,0.02  ,0.24  ,0.33  ,-0.00
407 T 12.0 0.41 58.80 ,-11.75 ,-0.06 ,-0.43 ,0.16  ,-0.15 ,-0.04 ,0.49  ,0.40  ,0.14
408 T 12.0 0.41 78.39 ,-10.07 ,-0.04 ,-0.29 ,0.03  ,-0.09 ,-0.08 ,0.51  ,0.40  ,0.22
409 T 12.0 0.41 90.00 ,-8.58  ,-0.04 ,-0.26 ,0.01  ,-0.08 ,-0.09 ,0.49  ,0.38  ,0.22
410 T 12.0 0.58 0.00  ,-9.87  ,-0.02 ,-0.32 ,0.31  ,-0.46 ,-0.08 ,-0.24 ,0.30  ,-0.16
411 T 12.0 0.58 15.00 ,-11.92 ,-0.05 ,-0.53 ,0.52  ,-0.13 ,0.14  ,-0.09 ,0.10  ,-0.09
412 T 12.0 0.58 30.00 ,-13.26 ,-0.06 ,-0.55 ,0.49  ,0.13  ,0.20  ,0.11  ,0.00  ,-0.04
413 T 12.0 0.58 45.00 ,-12.38 ,-0.07 ,-0.54 ,0.37  ,0.18  ,0.10  ,0.30  ,0.09  ,0.01
414 T 12.0 0.58 60.00 ,-11.04 ,-0.07 ,-0.45 ,0.19  ,0.17  ,-0.07 ,0.46  ,0.25  ,0.13
415 T 12.0 0.58 75.00 ,-11.05 ,-0.06 ,-0.32 ,0.04  ,0.12  ,-0.17 ,0.48  ,0.34  ,0.24
416 T 12.0 0.58 90.00 ,-8.31  ,-0.05 ,-0.25 ,-0.00 ,0.09  ,-0.18 ,0.43  ,0.33  ,0.25
417 T 12.0 0.77 0.00  ,-9.92  ,-0.02 ,-0.32 ,0.31  ,-0.44 ,-0.10 ,-0.30 ,0.25  ,-0.19
418 T 12.0 0.77 12.32 ,-12.35 ,-0.05 ,-0.48 ,0.52  ,0.23  ,0.25  ,-0.05 ,-0.20 ,-0.03
419 T 12.0 0.77 24.64 ,-15.14 ,-0.06 ,-0.49 ,0.50  ,0.34  ,0.25  ,0.04  ,-0.24 ,-0.03
420 T 12.0 0.77 36.96 ,-15.38 ,-0.07 ,-0.52 ,0.45  ,0.39  ,0.16  ,0.13  ,-0.20 ,-0.04
421 T 12.0 0.77 49.28 ,-12.59 ,-0.07 ,-0.50 ,0.32  ,0.40  ,-0.01 ,0.24  ,-0.08 ,0.01
422 T 12.0 0.77 61.60 ,-10.65 ,-0.07 ,-0.42 ,0.15  ,0.35  ,-0.21 ,0.34  ,0.10  ,0.14
423 T 12.0 0.77 73.92 ,-11.24 ,-0.06 ,-0.30 ,0.02  ,0.27  ,-0.32 ,0.35  ,0.22  ,0.27
424 T 12.0 0.77 86.24 ,-8.53  ,-0.05 ,-0.22 ,-0.02 ,0.21  ,-0.31 ,0.31  ,0.23  ,0.28
425 T 12.0 0.77 90.00 ,-8.20  ,-0.05 ,-0.22 ,-0.03 ,0.20  ,-0.31 ,0.30  ,0.23  ,0.28
426 T 12.0 1.00 0.00  ,-9.55  ,-0.02 ,-0.31 ,0.29  ,-0.44 ,-0.14 ,-0.32 ,0.18  ,-0.21
427 T 12.0 1.00 10.61 ,-11.24 ,-0.03 ,-0.40 ,0.38  ,-0.36 ,-0.11 ,-0.32 ,0.10  ,-0.22
428 T 12.0 1.00 21.21 ,-12.11 ,-0.05 ,-0.52 ,0.48  ,-0.09 ,-0.02 ,-0.23 ,-0.10 ,-0.20
429 T 12.0 1.00 31.82 ,-12.58 ,-0.06 ,-0.53 ,0.44  ,0.15  ,-0.03 ,-0.10 ,-0.22 ,-0.16
430 T 12.0 1.00 42.43 ,-11.85 ,-0.07 ,-0.49 ,0.34  ,0.29  ,-0.13 ,0.01  ,-0.23 ,-0.09
431 T 12.0 1.00 53.03 ,-10.26 ,-0.07 ,-0.43 ,0.20  ,0.34  ,-0.29 ,0.09  ,-0.15 ,0.03
432 T 12.0 1.00 63.64 ,-9.95  ,-0.06 ,-0.34 ,0.08  ,0.34  ,-0.44 ,0.14  ,-0.03 ,0.19
433 T 12.0 1.00 74.25 ,-11.06 ,-0.06 ,-0.26 ,-0.01 ,0.30  ,-0.50 ,0.15  ,0.07  ,0.30
434 T 12.0 1.00 84.85 ,-8.77  ,-0.04 ,-0.19 ,-0.04 ,0.24  ,-0.46 ,0.14  ,0.10  ,0.32
435 T 12.0 1.00 90.00 ,-8.13  ,-0.04 ,-0.18 ,-0.04 ,0.23  ,-0.45 ,0.14  ,0.10  ,0.31
436 T 12.0 1.30 0.00  ,-7.74  ,-0.02 ,-0.29 ,0.23  ,-0.39 ,-0.21 ,-0.29 ,0.05  ,-0.22
437 T 12.0 1.30 9.45  ,-9.27  ,-0.03 ,-0.31 ,0.25  ,-0.38 ,-0.22 ,-0.30 ,0.02  ,-0.23
438 T 12.0 1.30 18.91 ,-11.37 ,-0.04 ,-0.38 ,0.29  ,-0.32 ,-0.25 ,-0.31 ,-0.06 ,-0.25
439 T 12.0 1.30 28.36 ,-11.13 ,-0.05 ,-0.42 ,0.30  ,-0.18 ,-0.29 ,-0.27 ,-0.17 ,-0.22
440 T 12.0 1.30 37.81 ,-10.15 ,-0.05 ,-0.41 ,0.24  ,-0.01 ,-0.35 ,-0.20 ,-0.25 ,-0.15
441 T 12.0 1.30 47.27 ,-9.36  ,-0.05 ,-0.37 ,0.16  ,0.12  ,-0.44 ,-0.14 ,-0.25 ,-0.03
442 T 12.0 1.30 56.72 ,-9.03  ,-0.05 ,-0.31 ,0.08  ,0.20  ,-0.55 ,-0.09 ,-0.21 ,0.12
443 T 12.0 1.30 66.17 ,-10.07 ,-0.05 ,-0.25 ,0.01  ,0.24  ,-0.63 ,-0.05 ,-0.13 ,0.26
444 T 12.0 1.30 75.63 ,-10.79 ,-0.04 ,-0.19 ,-0.03 ,0.23  ,-0.61 ,-0.03 ,-0.07 ,0.33
445 T 12.0 1.30 85.08 ,-8.63  ,-0.04 ,-0.15 ,-0.05 ,0.20  ,-0.55 ,-0.02 ,-0.03 ,0.33
446 T 12.0 1.30 90.00 ,-8.10  ,-0.04 ,-0.14 ,-0.05 ,0.20  ,-0.54 ,-0.02 ,-0.03 ,0.33
447 T 12.0 1.73 0.00  ,-5.10  ,-0.02 ,-0.21 ,0.13  ,-0.28 ,-0.26 ,-0.24 ,-0.09 ,-0.17
448 T 12.0 1.73 9.00  ,-6.39  ,-0.02 ,-0.22 ,0.13  ,-0.28 ,-0.27 ,-0.25 ,-0.11 ,-0.18
449 T 12.0 1.73 18.00 ,-8.92  ,-0.02 ,-0.25 ,0.14  ,-0.27 ,-0.32 ,-0.26 ,-0.16 ,-0.18
450 T 12.0 1.73 27.00 ,-10.08 ,-0.03 ,-0.28 ,0.14  ,-0.22 ,-0.39 ,-0.27 ,-0.22 ,-0.16
451 T 12.0 1.73 36.00 ,-9.60  ,-0.03 ,-0.28 ,0.11  ,-0.13 ,-0.46 ,-0.26 ,-0.27 ,-0.10
452 T 12.0 1.73 45.00 ,-8.95  ,-0.04 ,-0.26 ,0.07  ,-0.03 ,-0.54 ,-0.24 ,-0.29 ,0.00
453 T 12.0 1.73 54.00 ,-8.88  ,-0.04 ,-0.23 ,0.03  ,0.05  ,-0.61 ,-0.21 ,-0.27 ,0.12
454 T 12.0 1.73 63.00 ,-9.90  ,-0.04 ,-0.19 ,-0.01 ,0.11  ,-0.65 ,-0.18 ,-0.23 ,0.23
455 T 12.0 1.73 72.00 ,-10.86 ,-0.03 ,-0.15 ,-0.03 ,0.14  ,-0.64 ,-0.15 ,-0.18 ,0.30
456 T 12.0 1.73 81.00 ,-9.38  ,-0.03 ,-0.12 ,-0.04 ,0.14  ,-0.58 ,-0.13 ,-0.14 ,0.31
457 T 12.0 1.73 90.00 ,-8.09  ,-0.03 ,-0.11 ,-0.04 ,0.14  ,-0.55 ,-0.12 ,-0.12 ,0.30
458 T 12.0 2.41 0.00  ,-3.35  ,-0.01 ,-0.13 ,0.05  ,-0.16 ,-0.25 ,-0.17 ,-0.16 ,-0.09
459 T 12.0 2.41 9.00  ,-4.25  ,-0.01 ,-0.13 ,0.05  ,-0.16 ,-0.26 ,-0.18 ,-0.17 ,-0.09
460 T 12.0 2.41 18.00 ,-6.27  ,-0.01 ,-0.14 ,0.05  ,-0.16 ,-0.30 ,-0.19 ,-0.19 ,-0.08
461 T 12.0 2.41 27.00 ,-7.92  ,-0.02 ,-0.15 ,0.04  ,-0.14 ,-0.35 ,-0.21 ,-0.22 ,-0.06
462 T 12.0 2.41 36.00 ,-8.28  ,-0.02 ,-0.15 ,0.03  ,-0.10 ,-0.42 ,-0.22 ,-0.25 ,-0.01
463 T 12.0 2.41 45.00 ,-8.02  ,-0.02 ,-0.15 ,0.02  ,-0.05 ,-0.48 ,-0.22 ,-0.26 ,0.05
464 T 12.0 2.41 54.00 ,-8.32  ,-0.02 ,-0.14 ,-0.00 ,-0.00 ,-0.52 ,-0.21 ,-0.25 ,0.13
465 T 12.0 2.41 63.00 ,-9.33  ,-0.02 ,-0.12 ,-0.02 ,0.04  ,-0.54 ,-0.19 ,-0.23 ,0.20
466 T 12.0 2.41 72.00 ,-9.43  ,-0.02 ,-0.10 ,-0.03 ,0.06  ,-0.51 ,-0.17 ,-0.19 ,0.23
467 T 12.0 2.41 81.00 ,-8.09  ,-0.02 ,-0.08 ,-0.03 ,0.07  ,-0.47 ,-0.15 ,-0.16 ,0.24
468 T 12.0 2.41 90.00 ,-7.26  ,-0.02 ,-0.07 ,-0.03 ,0.07  ,-0.45 ,-0.14 ,-0.15 ,0.24
469 T 12.0 3.73 0.00  ,-0.00  ,-0.01 ,-0.07 ,0.01  ,-0.08 ,-0.19 ,-0.11 ,-0.14 ,-0.03
470 T 12.0 3.73 9.00  ,-0.35  ,-0.01 ,-0.07 ,0.01  ,-0.08 ,-0.20 ,-0.12 ,-0.14 ,-0.03
471 T 12.0 3.73 18.00 ,-1.20  ,-0.01 ,-0.07 ,0.01  ,-0.08 ,-0.22 ,-0.12 ,-0.15 ,-0.02
472 T 12.0 3.73 27.00 ,-2.10  ,-0.01 ,-0.07 ,0.01  ,-0.07 ,-0.25 ,-0.13 ,-0.16 ,-0.00
473 T 12.0 3.73 36.00 ,-2.65  ,-0.01 ,-0.08 ,0.00  ,-0.06 ,-0.29 ,-0.14 ,-0.18 ,0.02
474 T 12.0 3.73 45.00 ,-2.88  ,-0.01 ,-0.08 ,-0.00 ,-0.04 ,-0.33 ,-0.15 ,-0.19 ,0.06
475 T 12.0 3.73 54.00 ,-3.21  ,-0.01 ,-0.07 ,-0.01 ,-0.01 ,-0.36 ,-0.15 ,-0.18 ,0.10
476 T 12.0 3.73 63.00 ,-3.49  ,-0.01 ,-0.06 ,-0.01 ,0.01  ,-0.35 ,-0.14 ,-0.16 ,0.13
477 T 12.0 3.73 72.00 ,-3.19  ,-0.01 ,-0.05 ,-0.02 ,0.02  ,-0.33 ,-0.12 ,-0.14 ,0.15
478 T 12.0 3.73 81.00 ,-2.55  ,-0.01 ,-0.05 ,-0.02 ,0.03  ,-0.31 ,-0.11 ,-0.12 ,0.15
479 T 12.0 3.73 90.00 ,-2.23  ,-0.01 ,-0.04 ,-0.02 ,0.03  ,-0.30 ,-0.11 ,-0.12 ,0.15
480 T 12.0 7.60 0.00  ,7.60   ,-0.00 ,-0.04 ,0.00  ,-0.04 ,-0.13 ,-0.07 ,-0.10 ,-0.01
481 T 12.0 7.60 9.00  ,7.53   ,-0.00 ,-0.04 ,0.00  ,-0.04 ,-0.14 ,-0.08 ,-0.10 ,-0.01
482 T 12.0 7.60 18.00 ,7.34   ,-0.00 ,-0.04 ,0.00  ,-0.04 ,-0.15 ,-0.08 ,-0.10 ,0.00
483 T 12.0 7.60 27.00 ,7.02   ,-0.00 ,-0.04 ,0.00  ,-0.04 ,-0.17 ,-0.09 ,-0.11 ,0.01
484 T 12.0 7.60 36.00 ,6.59   ,-0.01 ,-0.04 ,-0.00 ,-0.03 ,-0.19 ,-0.09 ,-0.12 ,0.03
485 T 12.0 7.60 45.00 ,6.12   ,-0.01 ,-0.04 ,-0.00 ,-0.02 ,-0.22 ,-0.10 ,-0.13 ,0.05
486 T 12.0 7.60 54.00 ,5.87   ,-0.01 ,-0.04 ,-0.01 ,-0.01 ,-0.24 ,-0.10 ,-0.12 ,0.07
487 T 12.0 7.60 63.00 ,5.99   ,-0.01 ,-0.04 ,-0.01 ,0.00  ,-0.23 ,-0.10 ,-0.11 ,0.09
488 T 12.0 7.60 72.00 ,6.30   ,-0.01 ,-0.03 ,-0.01 ,0.01  ,-0.22 ,-0.09 ,-0.10 ,0.10
489 T 12.0 7.60 81.00 ,6.57   ,-0.01 ,-0.03 ,-0.01 ,0.02  ,-0.21 ,-0.08 ,-0.09 ,0.10
490 T 12.0 7.60 90.00 ,6.67   ,-0.01 ,-0.03 ,-0.01 ,0.02  ,-0.20 ,-0.08 ,-0.09 ,0.10
