base ,judge ,R    ,Y/X  ,θ     ,E                     ,ol1  ,ol2   ,ol3   ,ol4   ,ol5   ,ol6   ,ol7   ,ol8
 336 ,T     ,11.0 ,1.56 ,87.53 ,-74.44                ,0.18 ,0.62  ,-0.07 ,0.00  ,-0.54 ,-0.08 ,-0.23 ,-0.25
 337 ,T     ,11.0 ,1.56 ,90.00 ,-74.35                ,0.17 ,0.62  ,-0.07 ,0.00  ,-0.54 ,-0.08 ,-0.23 ,-0.25
 338 ,T     ,11.0 ,2.19 , 0.00 ,-71.26                ,0.01 ,0.27  ,0.57  ,0.00  ,0.45  ,0.06  ,-0.15 ,-0.31
 339 ,T     ,11.0 ,2.19 , 9.00 ,-72.12                ,0.01 ,0.29  ,0.59  ,0.00  ,0.45  ,0.05  ,-0.15 ,-0.30
 340 ,T     ,11.0 ,2.19 ,18.00 ,-74.05                ,0.02 ,0.34  ,0.64  ,0.00  ,0.46  ,0.04  ,-0.11 ,-0.26
 341 ,T     ,11.0 ,2.19 ,27.00 ,-75.54                ,0.03 ,0.42  ,0.69  ,0.00  ,0.42  ,0.02  ,-0.05 ,-0.16
 342 ,T     ,11.0 ,2.19 ,36.00 ,-75.74                ,0.05 ,0.51  ,0.68  ,0.00  ,0.31  ,-0.01 ,0.04  ,-0.01
 343 ,T     ,11.0 ,2.19 ,45.00 ,-75.29                ,0.08 ,0.59  ,0.60  ,0.00  ,0.13  ,-0.04 ,0.12  ,0.13
 344 ,T     ,11.0 ,2.19 ,54.00 ,-74.90                ,0.10 ,0.66  ,0.47  ,0.00  ,-0.10 ,-0.05 ,0.17  ,0.22
 345 ,T     ,11.0 ,2.19 ,63.00 ,-74.82                ,0.13 ,0.69  ,0.31  ,0.00  ,-0.33 ,-0.04 ,0.17  ,0.22
 346 ,T     ,11.0 ,2.19 ,72.00 ,-74.09                ,0.14 ,0.65  ,0.15  ,0.00  ,-0.47 ,-0.02 ,0.12  ,0.15
 347 ,T     ,11.0 ,2.19 ,81.00 ,-72.29                ,0.14 ,0.58  ,0.06  ,0.00  ,-0.51 ,-0.00 ,0.08  ,0.08
 348 ,T     ,11.0 ,2.19 ,90.00 ,-71.33                ,0.13 ,0.55  ,0.03  ,0.00  ,-0.52 ,0.00  ,0.06  ,0.06
 349 ,T     ,11.0 ,3.41 , 0.00 ,-69.03                ,0.01 ,0.26  ,0.55  ,0.00  ,0.43  ,0.09  ,-0.18 ,-0.27
 350 ,T     ,11.0 ,3.41 , 9.00 ,-69.40                ,0.01 ,0.27  ,0.57  ,0.00  ,0.43  ,0.09  ,-0.17 ,-0.25
 351 ,T     ,11.0 ,3.41 ,18.00 ,-70.26                ,0.02 ,0.31  ,0.60  ,0.00  ,0.42  ,0.09  ,-0.14 ,-0.21
 352 ,T     ,11.0 ,3.41 ,27.00 ,-70.90                ,0.03 ,0.37  ,0.63  ,0.00  ,0.39  ,0.08  ,-0.09 ,-0.11
 353 ,T     ,11.0 ,3.41 ,36.00 ,-70.53                ,0.04 ,0.43  ,0.63  ,0.00  ,0.29  ,0.07  ,0.01  ,0.02
 354 ,T     ,11.0 ,3.41 ,45.00 ,-69.45                ,0.05 ,0.49  ,0.56  ,0.00  ,0.13  ,0.06  ,0.11  ,0.17
 355 ,T     ,11.0 ,3.41 ,54.00 ,-68.74                ,0.07 ,0.52  ,0.44  ,0.00  ,-0.07 ,0.06  ,0.20  ,0.28
 356 ,T     ,11.0 ,3.41 ,63.00 ,-68.59                ,0.08 ,0.51  ,0.30  ,0.00  ,-0.25 ,0.06  ,0.25  ,0.31
 357 ,T     ,11.0 ,3.41 ,72.00 ,-68.07                ,0.09 ,0.47  ,0.18  ,0.00  ,-0.36 ,0.07  ,0.25  ,0.28
 358 ,T     ,11.0 ,3.41 ,81.00 ,-67.12                ,0.08 ,0.42  ,0.10  ,0.00  ,-0.39 ,0.07  ,0.23  ,0.23
 359 ,T     ,11.0 ,3.41 ,90.00 ,-66.66                ,0.08 ,0.40  ,0.08  ,0.00  ,-0.40 ,0.07  ,0.22  ,0.22
 360 ,T     ,11.0 ,6.96 , 0.00 ,-60.27                ,0.01 ,0.21  ,0.45  ,0.00  ,0.34  ,0.10  ,-0.17 ,-0.19
 361 ,T     ,11.0 ,6.96 , 9.00 ,-60.50                ,0.01 ,0.22  ,0.46  ,0.00  ,0.34  ,0.10  ,-0.16 ,-0.18
 362 ,T     ,11.0 ,6.96 ,18.00 ,-61.12                ,0.01 ,0.24  ,0.48  ,0.00  ,0.33  ,0.11  ,-0.14 ,-0.14
 363 ,T     ,11.0 ,6.96 ,27.00 ,-61.77                ,0.02 ,0.28  ,0.51  ,0.00  ,0.30  ,0.11  ,-0.09 ,-0.06
 364 ,T     ,11.0 ,6.96 ,36.00 ,-61.81                ,0.03 ,0.33  ,0.50  ,0.00  ,0.23  ,0.11  ,-0.01 ,0.05
 365 ,T     ,11.0 ,6.96 ,45.00 ,-61.31                ,0.04 ,0.37  ,0.45  ,0.00  ,0.10  ,0.11  ,0.09  ,0.18
 366 ,T     ,11.0 ,6.96 ,54.00 ,-61.18                ,0.05 ,0.39  ,0.36  ,0.00  ,-0.06 ,0.11  ,0.19  ,0.27
 367 ,T     ,11.0 ,6.96 ,63.00 ,-61.42                ,0.06 ,0.38  ,0.26  ,0.00  ,-0.20 ,0.11  ,0.25  ,0.31
 368 ,T     ,11.0 ,6.96 ,72.00 ,-61.10                ,0.06 ,0.34  ,0.16  ,0.00  ,-0.28 ,0.10  ,0.26  ,0.29
 369 ,T     ,11.0 ,6.96 ,81.00 ,-60.44                ,0.05 ,0.31  ,0.11  ,0.00  ,-0.31 ,0.10  ,0.25  ,0.26
 370 ,T     ,11.0 ,6.96 ,90.00 ,-60.14                ,0.05 ,0.30  ,0.09  ,0.00  ,-0.31 ,0.09  ,0.25  ,0.24
 371 ,T     ,12.0 ,0.00 , 0.00 ,-68.01                ,0.01 ,0.23  ,0.52  ,0.00  ,0.39  ,0.21  ,-0.32 ,-0.17
 372 ,T     ,12.0 ,0.13 , 0.00 ,-70.92                ,0.01 ,0.24  ,0.55  ,0.00  ,0.40  ,0.24  ,-0.36 ,-0.16
 373 ,T     ,12.0 ,0.13 ,57.46 ,-72.17                ,0.01 ,0.28  ,0.60  ,0.00  ,0.41  ,0.24  ,-0.32 ,-0.12
 374 ,T     ,12.0 ,0.13 ,90.00 ,-71.59                ,0.01 ,0.29  ,0.61  ,0.00  ,0.39  ,0.23  ,-0.30 ,-0.11
 375 ,T     ,12.0 ,0.27 , 0.00 ,-66.49                ,0.01 ,0.21  ,0.48  ,-0.00 ,0.34  ,0.25  ,-0.35 ,-0.09
 376 ,T     ,12.0 ,0.27 ,28.98 ,-71.56                ,0.02 ,0.31  ,0.61  ,0.00  ,0.35  ,0.30  ,-0.30 ,0.01
 377 ,T     ,12.0 ,0.27 ,57.96 ,-75.14                ,0.03 ,0.43  ,0.70  ,0.00  ,0.28  ,0.28  ,-0.16 ,0.11
 378 ,T     ,12.0 ,0.27 ,86.93 ,-72.08                ,0.03 ,0.43  ,0.64  ,0.00  ,0.22  ,0.22  ,-0.11 ,0.09
 379 ,T     ,12.0 ,0.27 ,90.00 ,-72.02                ,0.03 ,0.43  ,0.64  ,0.00  ,0.22  ,0.22  ,-0.11 ,0.09
 380 ,T     ,12.0 ,0.41 , 0.00 ,-59.04                ,0.01 ,0.16  ,0.37  ,-0.00 ,0.26  ,0.22  ,-0.28 ,-0.04
 381 ,T     ,12.0 ,0.41 ,19.60 ,-63.70                ,0.02 ,0.29  ,0.46  ,-0.00 ,0.11  ,0.29  ,-0.06 ,0.22
 382 ,T     ,12.0 ,0.41 ,39.20 ,-69.27                ,0.04 ,0.42  ,0.47  ,0.00  ,-0.11 ,0.30  ,0.18  ,0.35
 383 ,T     ,12.0 ,0.41 ,58.80 ,-73.62                ,0.06 ,0.56  ,0.52  ,0.00  ,-0.20 ,0.26  ,0.19  ,0.29
 384 ,T     ,12.0 ,0.41 ,78.39 ,-71.84                ,0.07 ,0.54  ,0.46  ,0.00  ,-0.19 ,0.15  ,0.09  ,0.14
 385 ,T     ,12.0 ,0.41 ,90.00 ,-70.25                ,0.06 ,0.52  ,0.44  ,0.00  ,-0.17 ,0.13  ,0.07  ,0.11
 386 ,T     ,12.0 ,0.58 , 0.00 ,15.89                 ,0.00 ,-0.00 ,-0.00 ,0.00  ,0.00  ,0.00  ,0.00  ,0.00
 387 ,T     ,12.0 ,0.58 ,15.00 ,-59.43                ,0.02 ,0.21  ,0.11  ,0.00  ,-0.30 ,0.19  ,0.33  ,0.25
 388 ,T     ,12.0 ,0.58 ,30.00 ,-65.08                ,0.03 ,0.27  ,0.14  ,0.00  ,-0.37 ,0.21  ,0.37  ,0.26
 389 ,T     ,12.0 ,0.58 ,45.00 ,-70.28                ,0.05 ,0.39  ,0.18  ,0.00  ,-0.48 ,0.22  ,0.37  ,0.22
 390 ,T     ,12.0 ,0.58 ,60.00 ,-73.54                ,0.08 ,0.55  ,0.21  ,0.00  ,-0.59 ,0.19  ,0.26  ,0.06
 391 ,T     ,12.0 ,0.58 ,75.00 ,-74.08                ,0.10 ,0.60  ,0.20  ,0.00  ,-0.59 ,0.10  ,0.07  ,-0.16
 392 ,T     ,12.0 ,0.58 ,90.00 ,-70.84                ,0.09 ,0.55  ,0.17  ,0.00  ,-0.52 ,0.06  ,-0.02 ,-0.24
 393 ,T     ,12.0 ,0.77 , 0.00 ,-59.04                ,0.01 ,0.16  ,0.37  ,-0.00 ,0.26  ,0.22  ,-0.28 ,-0.04
 394 ,T     ,12.0 ,0.77 ,12.32 ,-62.43                ,0.02 ,0.27  ,0.44  ,-0.00 ,0.11  ,0.29  ,-0.06 ,0.21
 395 ,T     ,12.0 ,0.77 ,24.64 ,-66.58                ,0.04 ,0.36  ,0.32  ,0.00  ,-0.25 ,0.28  ,0.30  ,0.36
 396 ,T     ,12.0 ,0.77 ,36.96 ,-70.27                ,0.05 ,0.40  ,0.21  ,0.00  ,-0.45 ,0.23  ,0.37  ,0.26
 397 ,T     ,12.0 ,0.77 ,49.28 ,-71.20                ,0.07 ,0.45  ,0.14  ,0.00  ,-0.57 ,0.18  ,0.29  ,0.07
 398 ,T     ,12.0 ,0.77 ,61.60 ,-71.43                ,0.09 ,0.51  ,0.08  ,0.00  ,-0.64 ,0.12  ,0.10  ,-0.21
 399 ,T     ,12.0 ,0.77 ,73.92 ,-73.19                ,0.10 ,0.50  ,0.03  ,0.00  ,-0.62 ,0.05  ,-0.11 ,-0.46
 400 ,T     ,12.0 ,0.77 ,86.24 ,-71.62                ,0.09 ,0.44  ,0.00  ,0.00  ,-0.54 ,0.01  ,-0.20 ,-0.52
 401 ,T     ,12.0 ,0.77 ,90.00 ,-71.37                ,0.09 ,0.44  ,-0.00 ,0.00  ,-0.54 ,0.01  ,-0.20 ,-0.53
 402 ,T     ,12.0 ,1.00 , 0.00 ,-66.49                ,0.01 ,0.21  ,0.48  ,-0.00 ,0.34  ,0.25  ,-0.35 ,-0.09
 403 ,T     ,12.0 ,1.00 ,10.61 ,-68.95                ,0.01 ,0.26  ,0.56  ,-0.00 ,0.34  ,0.28  ,-0.31 ,-0.02
 404 ,T     ,12.0 ,1.00 ,21.21 ,-71.36                ,0.03 ,0.39  ,0.62  ,0.00  ,0.20  ,0.32  ,-0.11 ,0.19
 405 ,T     ,12.0 ,1.00 ,31.82 ,-72.54                ,0.05 ,0.50  ,0.55  ,0.00  ,-0.09 ,0.29  ,0.14  ,0.32
 406 ,T     ,12.0 ,1.00 ,42.43 ,-73.93                ,0.07 ,0.59  ,0.41  ,0.00  ,-0.39 ,0.23  ,0.25  ,0.23
 407 ,T     ,12.0 ,1.00 ,53.03 ,-74.65                ,0.09 ,0.61  ,0.24  ,0.00  ,-0.59 ,0.14  ,0.15  ,-0.05
 408 ,T     ,12.0 ,1.00 ,63.64 ,-74.38                ,0.10 ,0.56  ,0.09  ,0.00  ,-0.64 ,0.06  ,-0.05 ,-0.37
 409 ,T     ,12.0 ,1.00 ,74.25 ,-71.89                ,0.09 ,0.45  ,-0.00 ,0.00  ,-0.55 ,0.01  ,-0.19 ,-0.52
 410 ,T     ,12.0 ,1.00 ,84.85 ,-67.86                ,0.08 ,0.36  ,-0.03 ,0.00  ,-0.46 ,-0.00 ,-0.23 ,-0.54
 411 ,T     ,12.0 ,1.00 ,90.00 ,-67.18                ,0.08 ,0.35  ,-0.04 ,0.00  ,-0.45 ,-0.00 ,-0.23 ,-0.53
 412 ,T     ,12.0 ,1.30 , 0.00 ,-70.92                ,0.01 ,0.24  ,0.55  ,0.00  ,0.40  ,0.24  ,-0.36 ,-0.16
 413 ,T     ,12.0 ,1.30 , 9.45 ,-72.55                ,0.01 ,0.27  ,0.59  ,0.00  ,0.41  ,0.26  ,-0.35 ,-0.13
 414 ,T     ,12.0 ,1.30 ,18.91 ,-74.85                ,0.02 ,0.35  ,0.67  ,0.00  ,0.39  ,0.28  ,-0.29 ,-0.03
 415 ,T     ,12.0 ,1.30 ,28.36 ,-74.47                ,0.03 ,0.44  ,0.68  ,0.00  ,0.25  ,0.26  ,-0.14 ,0.10
 416 ,T     ,12.0 ,1.30 ,37.81 ,-72.80                ,0.05 ,0.50  ,0.59  ,0.00  ,0.03  ,0.20  ,0.02  ,0.18
 417 ,T     ,12.0 ,1.30 ,47.27 ,-71.10                ,0.07 ,0.54  ,0.44  ,0.00  ,-0.20 ,0.14  ,0.08  ,0.11
 418 ,T     ,12.0 ,1.30 ,56.72 ,-70.18                ,0.08 ,0.56  ,0.28  ,0.00  ,-0.41 ,0.09  ,0.05  ,-0.07
 419 ,T     ,12.0 ,1.30 ,66.17 ,-71.39                ,0.10 ,0.55  ,0.14  ,0.00  ,-0.55 ,0.05  ,-0.05 ,-0.30
 420 ,T     ,12.0 ,1.30 ,75.63 ,-73.01                ,0.10 ,0.50  ,0.04  ,0.00  ,-0.59 ,0.03  ,-0.15 ,-0.47
 421 ,T     ,12.0 ,1.30 ,85.08 ,-71.84                ,0.09 ,0.44  ,-0.01 ,0.00  ,-0.56 ,0.02  ,-0.19 ,-0.52
 422 ,T     ,12.0 ,1.30 ,90.00 ,-71.45                ,0.09 ,0.43  ,-0.01 ,0.00  ,-0.55 ,0.02  ,-0.19 ,-0.53
 423 ,T     ,12.0 ,1.73 , 0.00 ,-68.01                ,0.01 ,0.23  ,0.52  ,0.00  ,0.39  ,0.21  ,-0.32 ,-0.17
 424 ,T     ,12.0 ,1.73 , 9.00 ,-69.30                ,0.01 ,0.25  ,0.55  ,0.00  ,0.39  ,0.22  ,-0.32 ,-0.15
 425 ,T     ,12.0 ,1.73 ,18.00 ,-71.77                ,0.01 ,0.30  ,0.61  ,0.00  ,0.39  ,0.23  ,-0.30 ,-0.10
 426 ,T     ,12.0 ,1.73 ,27.00 ,-72.83                ,0.02 ,0.37  ,0.66  ,0.00  ,0.34  ,0.24  ,-0.22 ,-0.01
 427 ,T     ,12.0 ,1.73 ,36.00 ,-72.43                ,0.04 ,0.44  ,0.64  ,0.00  ,0.20  ,0.22  ,-0.10 ,0.10
 428 ,T     ,12.0 ,1.73 ,45.00 ,-72.15                ,0.05 ,0.50  ,0.56  ,0.00  ,0.00  ,0.19  ,0.03  ,0.17
 429 ,T     ,12.0 ,1.73 ,54.00 ,-72.46                ,0.07 ,0.56  ,0.45  ,0.00  ,-0.23 ,0.16  ,0.11  ,0.14
 430 ,T     ,12.0 ,1.73 ,63.00 ,-73.63                ,0.09 ,0.61  ,0.32  ,0.00  ,-0.47 ,0.14  ,0.14  ,0.03
 431 ,T     ,12.0 ,1.73 ,72.00 ,-74.69                ,0.10 ,0.60  ,0.19  ,0.00  ,-0.63 ,0.13  ,0.12  ,-0.13
 432 ,T     ,12.0 ,1.73 ,81.00 ,-73.13                ,0.10 ,0.54  ,0.10  ,0.00  ,-0.66 ,0.11  ,0.08  ,-0.23
 433 ,T     ,12.0 ,1.73 ,90.00 ,-71.70                ,0.09 ,0.51  ,0.07  ,0.00  ,-0.65 ,0.10  ,0.06  ,-0.26
 434 ,T     ,12.0 ,2.41 , 0.00 ,-70.92                ,0.01 ,0.24  ,0.55  ,0.00  ,0.40  ,0.24  ,-0.36 ,-0.16
 435 ,T     ,12.0 ,2.41 , 9.00 ,-71.81                ,0.01 ,0.25  ,0.58  ,0.00  ,0.41  ,0.25  ,-0.36 ,-0.14
 436 ,T     ,12.0 ,2.41 ,18.00 ,-73.75                ,0.01 ,0.30  ,0.63  ,0.00  ,0.41  ,0.27  ,-0.34 ,-0.09
 437 ,T     ,12.0 ,2.41 ,27.00 ,-75.05                ,0.02 ,0.37  ,0.69  ,0.00  ,0.37  ,0.29  ,-0.27 ,0.01
 438 ,T     ,12.0 ,2.41 ,36.00 ,-74.81                ,0.03 ,0.44  ,0.69  ,0.00  ,0.25  ,0.30  ,-0.14 ,0.14
 439 ,T     ,12.0 ,2.41 ,45.00 ,-73.82                ,0.04 ,0.49  ,0.63  ,0.00  ,0.06  ,0.29  ,0.03  ,0.26
 440 ,T     ,12.0 ,2.41 ,54.00 ,-73.04                ,0.06 ,0.53  ,0.52  ,0.00  ,-0.18 ,0.28  ,0.19  ,0.32
 441 ,T     ,12.0 ,2.41 ,63.00 ,-72.97                ,0.07 ,0.54  ,0.38  ,0.00  ,-0.39 ,0.26  ,0.30  ,0.29
 442 ,T     ,12.0 ,2.41 ,72.00 ,-72.67                ,0.07 ,0.50  ,0.25  ,0.00  ,-0.52 ,0.23  ,0.34  ,0.20
 443 ,T     ,12.0 ,2.41 ,81.00 ,-71.20                ,0.06 ,0.44  ,0.16  ,0.00  ,-0.54 ,0.20  ,0.32  ,0.13
 444 ,T     ,12.0 ,2.41 ,90.00 ,-70.32                ,0.06 ,0.41  ,0.13  ,0.00  ,-0.54 ,0.19  ,0.31  ,0.10
 445 ,T     ,12.0 ,3.73 , 0.00 ,-66.49                ,0.01 ,0.21  ,0.48  ,-0.00 ,0.34  ,0.25  ,-0.35 ,-0.09
 446 ,T     ,12.0 ,3.73 , 9.00 ,-66.86                ,0.01 ,0.22  ,0.49  ,-0.00 ,0.34  ,0.26  ,-0.34 ,-0.08
 447 ,T     ,12.0 ,3.73 ,18.00 ,-67.74                ,0.01 ,0.24  ,0.53  ,-0.00 ,0.34  ,0.27  ,-0.32 ,-0.03
 448 ,T     ,12.0 ,3.73 ,27.00 ,-68.44                ,0.02 ,0.29  ,0.56  ,-0.00 ,0.30  ,0.30  ,-0.26 ,0.06
 449 ,T     ,12.0 ,3.73 ,36.00 ,-68.32                ,0.02 ,0.33  ,0.56  ,-0.00 ,0.20  ,0.31  ,-0.14 ,0.17
 450 ,T     ,12.0 ,3.73 ,45.00 ,-67.69                ,0.03 ,0.37  ,0.51  ,0.00  ,0.05  ,0.31  ,0.02  ,0.29
 451 ,T     ,12.0 ,3.73 ,54.00 ,-67.52                ,0.04 ,0.39  ,0.43  ,0.00  ,-0.12 ,0.30  ,0.19  ,0.36
 452 ,T     ,12.0 ,3.73 ,63.00 ,-67.89                ,0.04 ,0.38  ,0.32  ,0.00  ,-0.28 ,0.28  ,0.32  ,0.36
 453 ,T     ,12.0 ,3.73 ,72.00 ,-67.74                ,0.04 ,0.34  ,0.22  ,0.00  ,-0.37 ,0.24  ,0.37  ,0.31
 454 ,T     ,12.0 ,3.73 ,81.00 ,-66.95                ,0.04 ,0.31  ,0.15  ,0.00  ,-0.40 ,0.21  ,0.37  ,0.26
 455 ,T     ,12.0 ,3.73 ,90.00 ,-66.53                ,0.04 ,0.29  ,0.13  ,0.00  ,-0.40 ,0.20  ,0.37  ,0.24
 456 ,T     ,12.0 ,7.60 , 0.00 ,-59.04                ,0.01 ,0.16  ,0.37  ,-0.00 ,0.26  ,0.22  ,-0.28 ,-0.04
 457 ,T     ,12.0 ,7.60 , 9.00 ,-59.27                ,0.01 ,0.16  ,0.38  ,-0.00 ,0.26  ,0.22  ,-0.28 ,-0.03
 458 ,T     ,12.0 ,7.60 ,18.00 ,-59.90                ,0.01 ,0.18  ,0.40  ,-0.00 ,0.25  ,0.24  ,-0.26 ,0.01
 459 ,T     ,12.0 ,7.60 ,27.00 ,-60.61                ,0.01 ,0.21  ,0.43  ,-0.00 ,0.22  ,0.26  ,-0.21 ,0.08
 460 ,T     ,12.0 ,7.60 ,36.00 ,-60.85                ,0.01 ,0.25  ,0.43  ,-0.00 ,0.15  ,0.28  ,-0.12 ,0.17
 461 ,T     ,12.0 ,7.60 ,45.00 ,-60.63                ,0.02 ,0.27  ,0.40  ,-0.00 ,0.04  ,0.28  ,0.02  ,0.26
 462 ,T     ,12.0 ,7.60 ,54.00 ,-60.75                ,0.02 ,0.28  ,0.33  ,-0.00 ,-0.10 ,0.27  ,0.17  ,0.32
 463 ,T     ,12.0 ,7.60 ,63.00 ,-61.18                ,0.03 ,0.28  ,0.25  ,0.00  ,-0.21 ,0.25  ,0.28  ,0.34
 464 ,T     ,12.0 ,7.60 ,72.00 ,-61.00                ,0.03 ,0.25  ,0.18  ,0.00  ,-0.28 ,0.22  ,0.33  ,0.30
 465 ,T     ,12.0 ,7.60 ,81.00 ,-60.41                ,0.03 ,0.22  ,0.13  ,0.00  ,-0.30 ,0.20  ,0.34  ,0.26
 466 ,T     ,12.0 ,7.60 ,90.00 ,-60.12                ,0.03 ,0.21  ,0.11  ,0.00  ,-0.30 ,0.19  ,0.34  ,0.25
